GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticketing-service,com.deliveryapp.ticketingservice.config,SecurityConfiguration,0,53,0,0,0,16,0,5,0,5
ticketing-service,com.deliveryapp.ticketingservice.model.ticket,Ticket.TicketBuilder,15,30,0,0,0,1,2,5,2,5
ticketing-service,com.deliveryapp.ticketingservice.model.ticket,Ticket,104,93,22,10,0,8,19,12,5,10
ticketing-service,com.deliveryapp.ticketingservice.service.delivery,DeliveryService,0,44,0,0,0,11,0,7,0,7
ticketing-service,com.deliveryapp.ticketingservice.rule,ExpectedDeliveryTimeExceededTicketingRule,0,18,1,3,0,3,1,4,0,3
ticketing-service,com.deliveryapp.ticketingservice.rule,EstimatedTimeGreaterThanExpectedTimeTicketingRule,1,33,2,2,0,5,2,3,0,3
ticketing-service,com.deliveryapp.ticketingservice.exception,DeliveryTokenException,4,0,0,0,2,0,1,0,1,0
ticketing-service,com.deliveryapp.ticketingservice,TicketingServiceApplication,5,134,0,0,2,50,1,2,1,2
ticketing-service,com.deliveryapp.ticketingservice.model.user,User,101,70,22,8,0,7,19,9,5,8
ticketing-service,com.deliveryapp.ticketingservice.model.user,User.UserBuilder,13,23,0,0,0,1,2,4,2,4
ticketing-service,com.deliveryapp.ticketingservice.util.jwt,JwtUtils,88,6,4,0,13,2,10,1,8,1
ticketing-service,com.deliveryapp.ticketingservice.filter,JwtRequestFilter,53,30,8,2,12,9,5,2,0,2
ticketing-service,com.deliveryapp.ticketingservice.scheduler,TicketScheduler,6,156,4,12,2,40,4,12,0,8
ticketing-service,com.deliveryapp.ticketingservice.service.user,UserAuthDetailsService,31,6,0,0,3,1,2,1,2,1
ticketing-service,com.deliveryapp.ticketingservice.service.user,UserService,7,10,0,0,2,2,1,2,1,2
ticketing-service,com.deliveryapp.ticketingservice.controller,DeliveryAppController,61,76,0,0,14,11,3,5,3,5
ticketing-service,com.deliveryapp.ticketingservice.exception.advice,DeliveryExceptionHandlingAdvice,138,7,0,0,18,2,6,2,6,2
ticketing-service,com.deliveryapp.ticketingservice.exception.advice,DeliveryErrorDetails,164,0,30,0,5,0,26,0,11,0
ticketing-service,com.deliveryapp.ticketingservice.model.delivery,Delivery.DeliveryBuilder,25,65,0,0,0,1,2,10,2,10
ticketing-service,com.deliveryapp.ticketingservice.model.delivery,Delivery,233,149,48,12,0,13,37,18,9,16
ticketing-service,com.deliveryapp.ticketingservice.service.ticket,TicketService,0,46,0,0,0,11,0,7,0,7
ticketing-service,com.deliveryapp.ticketingservice.model.auth,AuthRequest,115,0,22,0,4,0,20,0,9,0
ticketing-service,com.deliveryapp.ticketingservice.model.auth,AuthResponse,9,0,0,0,2,0,2,0,2,0
